NDST3,GLCNACDASg
NDST2,GLCNACDASg
NDST4,GLCNACDASg
NDST1,GLCNACDASg
HS3ST1,S3T1g
HS3ST5,S3T1g
HS3ST4,S3T1g
HS3ST5,S3T2g
HS3ST2,S3T2g
HS3ST4,S3T2g
HS3ST3B1,S3T3g
HS3ST3A1,S3T3g
HS3ST4,S3T3g
HS3ST6,S3T3g
CSGALNACT2,GALNACT1g
CSGALNACT1,GALNACT1g
CSGALNACT2,GALNACT2g
CHSY1,GALNACT2g
CHPF,GALNACT2g
CSGALNACT1,GALNACT2g
CHSY3,GALNACT2g
CSGALNACT2,GALNACT3g
CHSY1,GALNACT3g
CHPF,GALNACT3g
CSGALNACT1,GALNACT3g
CHSY3,GALNACT3g
CSGALNACT2,GALNACT4g
CHSY1,GALNACT4g
CHPF,GALNACT4g
CSGALNACT1,GALNACT4g
CHSY3,GALNACT4g
CSGALNACT2,GALNACT5g
CHSY1,GALNACT5g
CHSY3,GALNACT5g
CSGALNACT1,GALNACT5g
CHPF,GALNACT5g
B3GALT6,GALT2g
GLCE,GLCAE2g
CHPF2,GLCAT2g
CHSY1,GLCAT2g
CHSY3,GLCAT2g
CHPF,GLCAT2g
CHPF2,GLCAT3g
CHSY1,GLCAT3g
CHSY3,GLCAT3g
CHPF,GLCAT3g
CHPF2,GLCAT4g
CHSY1,GLCAT4g
CHSY3,GLCAT4g
CHPF,GLCAT4g
CHPF2,GLCAT5g
CHSY1,GLCAT5g
CHSY3,GLCAT5g
CHPF,GLCAT5g
EXT2,GLCAT6g
EXT1,GLCAT6g
EXT2,GLCAT7g
EXT1,GLCAT7g
EXT2,GLCAT8g
EXT1,GLCAT8g
EXT2,GLCAT9g
EXT1,GLCAT9g
EXTL3,GLCNACT1g
EXTL2,GLCNACT1g
EXTL3,GLCNACT2g
EXTL1,GLCNACT2g
EXT2,GLCNACT2g
EXT1,GLCNACT2g
EXTL3,GLCNACT3g
EXTL1,GLCNACT3g
EXT2,GLCNACT3g
EXT1,GLCNACT3g
EXTL3,GLCNACT4g
EXTL1,GLCNACT4g
EXT2,GLCNACT4g
EXT1,GLCNACT4g
EXTL3,GLCNACT5g
EXTL1,GLCNACT5g
EXT2,GLCNACT5g
EXT1,GLCNACT5g
UST,S2T1g
UST,S2T2g
UST,S2T3g
HS2ST1,S2T4g
CHST14,S4T1g
CHST11,S4T1g
CHST13,S4T1g
CHST12,S4T1g
CHST14,S4T2g
CHST11,S4T2g
CHST13,S4T2g
CHST12,S4T2g
CHST14,S4T3g
CHST11,S4T3g
CHST13,S4T3g
CHST12,S4T3g
CHST14,S4T6g
CHST11,S4T6g
CHST13,S4T6g
CHST12,S4T6g
CHST3,S6T19g
CHST7,S6T19g
CHST3,S6T20g
CHST7,S6T20g
CHST3,S6T21g
CHST7,S6T21g
CHST7,S6T22g
CHST7,S6T23g
CHST3,S6T24g
CHST7,S6T24g
HS6ST3,S6T25g
HS6ST2,S6T25g
HS6ST1,S6T25g
XYLT2,XYLTer
XYLT1,XYLTer
GUSB,GLCAASE4ly
GUSB,GLCAASE5ly
GUSB,GLCAASE6ly
GUSB,GLCAASE7ly
IDUA,IDOAASE4ly
HEXA,NACHEX1ly
HEXB,NACHEX1ly
HEXA,NACHEX2ly
HEXB,NACHEX2ly
HEXA,NACHEX3ly
HEXB,NACHEX3ly
HEXA,NACHEX4ly
HEXB,NACHEX4ly
HEXA,NACHEX5ly
HEXB,NACHEX5ly
HEXA,NACHEX6ly
HEXB,NACHEX6ly
HEXA,NACHEX7ly
HEXB,NACHEX7ly
HEXA,NACHEX8ly
HEXB,NACHEX8ly
HEXA,NACHEX9ly
HEXB,NACHEX9ly
HEXA,NACHEXA1ly
HEXB,NACHEXA1ly
HEXA,NACHEXA2ly
HEXB,NACHEXA2ly
HEXA,NACHEXA3ly
HEXB,NACHEXA3ly
HEXA,NACHEXA4ly
HEXB,NACHEXA4ly
HEXA,NACHEXA5ly
HEXB,NACHEXA5ly
HEXA,NACHEXA6ly
HEXB,NACHEXA6ly
HEXA,NACHEXA7ly
HEXB,NACHEXA7ly
HEXA,NACHEXA8ly
HEXB,NACHEXA8ly
IDS,S2TASE3ly
ARSB,S4TASE1ly
ARSB,S4TASE2ly
ARSB,S4TASE3ly
ARSB,S4TASE4ly
ARSB,S4TASE5ly
CTSA,S6TASE4ly
NEU1,S6TASE4ly
GLB1,S6TASE4ly
GALNS,S6TASE4ly
CTSA,S6TASE5ly
NEU1,S6TASE5ly
GLB1,S6TASE5ly
GALNS,S6TASE5ly
CTSA,S6TASE6ly
NEU1,S6TASE6ly
GLB1,S6TASE6ly
GALNS,S6TASE6ly
CTSA,S6TASE7ly
NEU1,S6TASE7ly
GLB1,S6TASE7ly
GALNS,S6TASE7ly
CTSA,S6TASE8ly
NEU1,S6TASE8ly
GLB1,S6TASE8ly
GALNS,S6TASE8ly
CTSA,S6TASE9ly
NEU1,S6TASE9ly
GLB1,S6TASE9ly
GALNS,S6TASE9ly
ACLY,ACITL
