genelistrounded,grRatio,CL,Gene,Cell Line
1545,1,DU-145,CYP1B1,DU-145
1557,1,DU-145,CYP2C19,DU-145
6513,1,DU-145,SLC2A1,DU-145
6514,1,DU-145,SLC2A2,DU-145
6576,1,DU-145,SLC25A1,DU-145
1718,0,DU-145,DHCR24,DU-145
27124,1,DU-145,INPP5J,DU-145
3632,1,DU-145,INPP5A,DU-145
3633,1,DU-145,INPP5B,DU-145
3635,1,DU-145,INPP5D,DU-145
3636,1,DU-145,INPPL1,DU-145
56623,1,DU-145,INPP5E,DU-145
8867,1,DU-145,SYNJ1,DU-145
2806,1,DU-145,GOT2,DU-145
6898,1,DU-145,TAT,DU-145
7296,1,DU-145,TXNRD1,DU-145
8574,1,DU-145,AKR7A2,DU-145
3423,1,DU-145,IDS,DU-145
2184,0.989235174,DU-145,FAH,DU-145
2752,1,DU-145,GLUL,DU-145
51557,1,DU-145,LGSN,DU-145
1593,1,DU-145,CYP27A1,DU-145
7357,1,DU-145,UGCG,DU-145
151531,1,DU-145,UPP2,DU-145
7378,1,DU-145,UPP1,DU-145
15,1,DU-145,AANAT,DU-145
7083,1,DU-145,TK1,DU-145
7084,1,DU-145,TK2,DU-145
5959,1,DU-145,RDH5,DU-145
64802,1,DU-145,NMNAT1,DU-145
10861,1,DU-145,SLC26A1,DU-145
1811,1,DU-145,SLC26A3,DU-145
1836,1,DU-145,SLC26A2,DU-145
5337,1,DU-145,PLD1,DU-145
4247,1,DU-145,MGAT2,DU-145
10841,1,DU-145,FTCD,DU-145
112724,1,DU-145,RDH13,DU-145
145226,1,DU-145,RDH12,DU-145
195814,1,DU-145,SDR16C5,DU-145
51109,1,DU-145,RDH11,DU-145
57665,1,DU-145,RDH14,DU-145
10905,1,DU-145,MAN1A2,DU-145
4121,1,DU-145,MAN1A1,DU-145
57134,1,DU-145,MAN1C1,DU-145
1629,0.984661133,DU-145,DBT,DU-145
1738,0.770807607,DU-145,DLD,DU-145
593,0.984661133,DU-145,BCKDHA,DU-145
594,1,DU-145,BCKDHB,DU-145
6523,1,DU-145,SLC5A1,DU-145
6563,1,DU-145,SLC14A1,DU-145
8170,1,DU-145,SLC14A2,DU-145
366,1,DU-145,AQP9,DU-145
84720,1,DU-145,PIGO,DU-145
162466,1,DU-145,PHOSPHO1,DU-145
6470,1,DU-145,SHMT1,DU-145
84532,1,DU-145,ACSS1,DU-145
6888,0.999655286,DU-145,TALDO1,DU-145
2131,1,DU-145,EXT1,DU-145
2132,1,DU-145,EXT2,DU-145
2134,1,DU-145,EXTL1,DU-145
2137,1,DU-145,EXTL3,DU-145
129807,1,DU-145,NEU4,DU-145
4759,1,DU-145,NEU2,DU-145
55191,1,DU-145,NADSYN1,DU-145
549,0.995029775,DU-145,AUH,DU-145
55577,1,DU-145,NAGK,DU-145
6309,0,DU-145,SC5D,DU-145
3294,1,DU-145,HSD17B2,DU-145
54407,1,DU-145,SLC38A2,DU-145
81539,1,DU-145,SLC38A1,DU-145
55315,1,DU-145,SLC29A3,DU-145
7390,1,DU-145,UROS,DU-145
80055,1,DU-145,PGAP1,DU-145
80235,1,DU-145,PIGZ,DU-145
175,1,DU-145,AGA,DU-145
2571,1,DU-145,GAD1,DU-145
9453,1,DU-145,GGPS1,DU-145
60490,1,DU-145,PPCDC,DU-145
10400,1,DU-145,PEMT,DU-145
10554,1,DU-145,AGPAT1,DU-145
10555,1,DU-145,AGPAT2,DU-145
137964,1,DU-145,GPAT4,DU-145
55326,1,DU-145,AGPAT5,DU-145
56894,1,DU-145,AGPAT3,DU-145
56895,1,DU-145,AGPAT4,DU-145
3425,1,DU-145,IDUA,DU-145
9514,1,DU-145,GAL3ST1,DU-145
2628,1,DU-145,GATM,DU-145
57026,1,DU-145,PDXP,DU-145
5728,1,DU-145,PTEN,DU-145
5172,1,DU-145,SLC26A4,DU-145
4907,1,DU-145,NT5E,DU-145
3658,1,DU-145,IREB2,DU-145
48,1,DU-145,ACO1,DU-145
55650,1,DU-145,PIGV,DU-145
1468,1,DU-145,SLC25A10,DU-145
51179,1,DU-145,HAO2,DU-145
