genelistrounded,grRatio,CL,Gene,Cell Line
3948,1,COLO-205,LDHC,COLO-205
55293,1,COLO-205,UEVLD,COLO-205
92483,1,COLO-205,LDHAL6B,COLO-205
343,1,COLO-205,AQP8,COLO-205
113026,1,COLO-205,PLCD3,COLO-205
23007,1,COLO-205,PLCH1,COLO-205
23236,1,COLO-205,PLCB1,COLO-205
257068,1,COLO-205,PLCXD2,COLO-205
51196,1,COLO-205,PLCE1,COLO-205
5330,1,COLO-205,PLCB2,COLO-205
5331,1,COLO-205,PLCB3,COLO-205
5332,1,COLO-205,PLCB4,COLO-205
5333,1,COLO-205,PLCD1,COLO-205
5334,1,COLO-205,PLCL1,COLO-205
5335,1,COLO-205,PLCG1,COLO-205
5336,1,COLO-205,PLCG2,COLO-205
84812,1,COLO-205,PLCD4,COLO-205
89869,1,COLO-205,PLCZ1,COLO-205
9651,1,COLO-205,PLCH2,COLO-205
5281,1,COLO-205,PIGF,COLO-205
54872,1,COLO-205,PIGG,COLO-205
8034,0.993704553,COLO-205,SLC25A16,COLO-205
8525,1,COLO-205,DGKZ,COLO-205
9162,1,COLO-205,DGKI,COLO-205
1786,1,COLO-205,DNMT1,COLO-205
1787,1,COLO-205,TRDMT1,COLO-205
1788,1,COLO-205,DNMT3A,COLO-205
1789,1,COLO-205,DNMT3B,COLO-205
56548,1,COLO-205,CHST7,COLO-205
9469,1,COLO-205,CHST3,COLO-205
229,1,COLO-205,ALDOB,COLO-205
318,1,COLO-205,NUDT2,COLO-205
2944,1,COLO-205,GSTM1,COLO-205
55301,1,COLO-205,OLAH,COLO-205
4123,1,COLO-205,MAN2C1,COLO-205
7941,1,COLO-205,PLA2G7,COLO-205
84920,1,COLO-205,ALG10,COLO-205
6580,1,COLO-205,SLC22A1,COLO-205
6582,1,COLO-205,SLC22A2,COLO-205
8140,1,COLO-205,SLC7A5,COLO-205
9197,1,COLO-205,SLC33A1,COLO-205
10723,1,COLO-205,SLC12A7,COLO-205
6560,1,COLO-205,SLC12A4,COLO-205
9990,1,COLO-205,SLC12A6,COLO-205
23475,1,COLO-205,QPRT,COLO-205
206358,1,COLO-205,SLC36A1,COLO-205
1891,1,COLO-205,ECH1,COLO-205
28231,1,COLO-205,SLCO4A1,COLO-205
53919,1,COLO-205,SLCO1C1,COLO-205
1543,1,COLO-205,CYP1A1,COLO-205
1544,1,COLO-205,CYP1A2,COLO-205
1545,1,COLO-205,CYP1B1,COLO-205
1557,1,COLO-205,CYP2C19,COLO-205
6513,1,COLO-205,SLC2A1,COLO-205
6514,1,COLO-205,SLC2A2,COLO-205
6576,1,COLO-205,SLC25A1,COLO-205
1718,0,COLO-205,DHCR24,COLO-205
27124,1,COLO-205,INPP5J,COLO-205
3632,1,COLO-205,INPP5A,COLO-205
3633,1,COLO-205,INPP5B,COLO-205
3635,1,COLO-205,INPP5D,COLO-205
3636,1,COLO-205,INPPL1,COLO-205
56623,1,COLO-205,INPP5E,COLO-205
8867,1,COLO-205,SYNJ1,COLO-205
2806,1,COLO-205,GOT2,COLO-205
6898,1,COLO-205,TAT,COLO-205
7296,1,COLO-205,TXNRD1,COLO-205
8574,1,COLO-205,AKR7A2,COLO-205
3423,1,COLO-205,IDS,COLO-205
2184,0.990866007,COLO-205,FAH,COLO-205
2752,1,COLO-205,GLUL,COLO-205
51557,1,COLO-205,LGSN,COLO-205
1593,1,COLO-205,CYP27A1,COLO-205
7357,1,COLO-205,UGCG,COLO-205
151531,1,COLO-205,UPP2,COLO-205
7378,1,COLO-205,UPP1,COLO-205
15,1,COLO-205,AANAT,COLO-205
7083,1,COLO-205,TK1,COLO-205
7084,1,COLO-205,TK2,COLO-205
5959,1,COLO-205,RDH5,COLO-205
64802,1,COLO-205,NMNAT1,COLO-205
10861,1,COLO-205,SLC26A1,COLO-205
1811,1,COLO-205,SLC26A3,COLO-205
1836,1,COLO-205,SLC26A2,COLO-205
5337,1,COLO-205,PLD1,COLO-205
4247,1,COLO-205,MGAT2,COLO-205
10841,1,COLO-205,FTCD,COLO-205
112724,1,COLO-205,RDH13,COLO-205
145226,1,COLO-205,RDH12,COLO-205
195814,1,COLO-205,SDR16C5,COLO-205
51109,1,COLO-205,RDH11,COLO-205
57665,1,COLO-205,RDH14,COLO-205
10905,1,COLO-205,MAN1A2,COLO-205
4121,1,COLO-205,MAN1A1,COLO-205
57134,1,COLO-205,MAN1C1,COLO-205
1629,0.987110126,COLO-205,DBT,COLO-205
1738,0.702164115,COLO-205,DLD,COLO-205
593,0.987110126,COLO-205,BCKDHA,COLO-205
594,1,COLO-205,BCKDHB,COLO-205
6523,1,COLO-205,SLC5A1,COLO-205
6563,1,COLO-205,SLC14A1,COLO-205
8170,1,COLO-205,SLC14A2,COLO-205
366,1,COLO-205,AQP9,COLO-205
84720,1,COLO-205,PIGO,COLO-205
162466,1,COLO-205,PHOSPHO1,COLO-205
6470,1,COLO-205,SHMT1,COLO-205
84532,1,COLO-205,ACSS1,COLO-205
6888,0.99964171,COLO-205,TALDO1,COLO-205
2131,1,COLO-205,EXT1,COLO-205
2132,1,COLO-205,EXT2,COLO-205
2134,1,COLO-205,EXTL1,COLO-205
2137,1,COLO-205,EXTL3,COLO-205
129807,1,COLO-205,NEU4,COLO-205
4759,1,COLO-205,NEU2,COLO-205
