genelistrounded,grRatio,CL,Gene,Cell Line
6538,1,A549     ,SLC6A11,A549
6539,1,A549     ,SLC6A12,A549
6540,1,A549     ,SLC6A13,A549
8309,1,A549     ,ACOX2,A549
3712,0.998767869,A549     ,IVD,A549
23483,1,A549     ,TGDS,A549
23057,1,A549     ,NMNAT2,A549
349565,1,A549     ,NMNAT3,A549
2548,1,A549     ,GAA,A549
11226,1,A549     ,GALNT6,A549
11227,1,A549     ,GALNT5,A549
114805,1,A549     ,GALNT13,A549
117248,1,A549     ,GALNT15,A549
2589,1,A549     ,GALNT1,A549
2590,1,A549     ,GALNT2,A549
2591,1,A549     ,GALNT3,A549
26290,1,A549     ,GALNT8,A549
50614,1,A549     ,GALNT9,A549
51809,1,A549     ,GALNT7,A549
55568,1,A549     ,GALNT10,A549
63917,1,A549     ,GALNT11,A549
79623,1,A549     ,GALNT14,A549
79695,1,A549     ,GALNT12,A549
8693,1,A549     ,GALNT4,A549
6505,1,A549     ,SLC1A1,A549
6506,1,A549     ,SLC1A2,A549
6507,1,A549     ,SLC1A3,A549
6511,1,A549     ,SLC1A6,A549
6512,1,A549     ,SLC1A7,A549
39,0.969782896,A549     ,ACAT2,A549
10678,1,A549     ,B3GNT2,A549
1036,1,A549     ,CDO1,A549
6476,1,A549     ,SI,A549
57282,1,A549     ,SLC4A10,A549
9498,1,A549     ,SLC4A8,A549
6448,1,A549     ,SGSH,A549
2542,1,A549     ,SLC37A4,A549
239,1,A549     ,ALOX12,A549
23396,1,A549     ,PIP5K1C,A549
8394,1,A549     ,PIP5K1A,A549
8395,1,A549     ,PIP5K1B,A549
5092,1,A549     ,PCBD1,A549
4597,0,A549     ,MVD,A549
26,1,A549     ,AOC1,A549
314,1,A549     ,AOC2,A549
8639,1,A549     ,AOC3,A549
3251,1,A549     ,HPRT1,A549
26873,1,A549     ,OPLAH,A549
2655,1,A549     ,GGCT,A549
6472,1,A549     ,SHMT2,A549
5834,1,A549     ,PYGB,A549
5836,1,A549     ,PYGL,A549
5837,1,A549     ,PYGM,A549
2181,1,A549     ,ACSL3,A549
978,1,A549     ,CDA,A549
2766,1,A549     ,GMPR,A549
51292,1,A549     ,GMPR2,A549
2135,1,A549     ,EXTL2,A549
8802,0.961291286,A549     ,SUCLG1,A549
8803,1,A549     ,SUCLA2,A549
11041,1,A549     ,B4GAT1,A549
284208,1,A549     ,B3GNTL1,A549
374907,1,A549     ,B3GNT8,A549
79369,1,A549     ,B3GNT4,A549
93010,1,A549     ,B3GNT7,A549
2651,1,A549     ,GCNT2,A549
65010,1,A549     ,SLC26A6,A549
1583,1,A549     ,CYP11A1,A549
291,1,A549     ,SLC25A4,A549
292,1,A549     ,SLC25A5,A549
293,1,A549     ,SLC25A6,A549
