genelistrounded,grRatio,CL,Gene,Cell Line
15,1,786-0 ,AANAT,786-0
7083,1,786-0 ,TK1,786-0
7084,1,786-0 ,TK2,786-0
5959,1,786-0 ,RDH5,786-0
64802,1,786-0 ,NMNAT1,786-0
10861,1,786-0 ,SLC26A1,786-0
1811,1,786-0 ,SLC26A3,786-0
1836,1,786-0 ,SLC26A2,786-0
5337,1,786-0 ,PLD1,786-0
4247,1,786-0 ,MGAT2,786-0
10841,1,786-0 ,FTCD,786-0
112724,1,786-0 ,RDH13,786-0
145226,1,786-0 ,RDH12,786-0
195814,1,786-0 ,SDR16C5,786-0
51109,1,786-0 ,RDH11,786-0
57665,1,786-0 ,RDH14,786-0
10905,1,786-0 ,MAN1A2,786-0
4121,1,786-0 ,MAN1A1,786-0
57134,1,786-0 ,MAN1C1,786-0
1629,0.992451506,786-0 ,DBT,786-0
1738,0.74908185,786-0 ,DLD,786-0
593,0.992451506,786-0 ,BCKDHA,786-0
594,1,786-0 ,BCKDHB,786-0
6523,1,786-0 ,SLC5A1,786-0
6563,1,786-0 ,SLC14A1,786-0
8170,1,786-0 ,SLC14A2,786-0
366,1,786-0 ,AQP9,786-0
84720,1,786-0 ,PIGO,786-0
162466,1,786-0 ,PHOSPHO1,786-0
6470,1,786-0 ,SHMT1,786-0
84532,1,786-0 ,ACSS1,786-0
6888,0.999629593,786-0 ,TALDO1,786-0
2131,1,786-0 ,EXT1,786-0
2132,1,786-0 ,EXT2,786-0
2134,1,786-0 ,EXTL1,786-0
2137,1,786-0 ,EXTL3,786-0
129807,1,786-0 ,NEU4,786-0
4759,1,786-0 ,NEU2,786-0
55191,1,786-0 ,NADSYN1,786-0
549,0.998735785,786-0 ,AUH,786-0
55577,1,786-0 ,NAGK,786-0
6309,0,786-0 ,SC5D,786-0
3294,1,786-0 ,HSD17B2,786-0
54407,1,786-0 ,SLC38A2,786-0
81539,1,786-0 ,SLC38A1,786-0
55315,1,786-0 ,SLC29A3,786-0
7390,1,786-0 ,UROS,786-0
80055,1,786-0 ,PGAP1,786-0
80235,1,786-0 ,PIGZ,786-0
175,1,786-0 ,AGA,786-0
2571,1,786-0 ,GAD1,786-0
9453,1,786-0 ,GGPS1,786-0
60490,1,786-0 ,PPCDC,786-0
10400,1,786-0 ,PEMT,786-0
10554,1,786-0 ,AGPAT1,786-0
10555,1,786-0 ,AGPAT2,786-0
137964,1,786-0 ,GPAT4,786-0
55326,1,786-0 ,AGPAT5,786-0
56894,1,786-0 ,AGPAT3,786-0
56895,1,786-0 ,AGPAT4,786-0
3425,1,786-0 ,IDUA,786-0
9514,1,786-0 ,GAL3ST1,786-0
2628,1,786-0 ,GATM,786-0
57026,1,786-0 ,PDXP,786-0
5728,1,786-0 ,PTEN,786-0
5172,1,786-0 ,SLC26A4,786-0
4907,1,786-0 ,NT5E,786-0
3658,1,786-0 ,IREB2,786-0
48,1,786-0 ,ACO1,786-0
55650,1,786-0 ,PIGV,786-0
1468,1,786-0 ,SLC25A10,786-0
51179,1,786-0 ,HAO2,786-0
54363,1,786-0 ,HAO1,786-0
27235,1,786-0 ,COQ2,786-0
79087,1,786-0 ,ALG12,786-0
2523,1,786-0 ,FUT1,786-0
6581,1,786-0 ,SLC22A3,786-0
847,1,786-0 ,CAT,786-0
53947,1,786-0 ,A4GALT,786-0
10327,1,786-0 ,AKR1A1,786-0
231,1,786-0 ,AKR1B1,786-0
1716,1,786-0 ,DGUOK,786-0
50808,1,786-0 ,AK3,786-0
2544,1,786-0 ,SLC37A4,786-0
10965,1,786-0 ,ACOT2,786-0
953,1,786-0 ,ENTPD1,786-0
954,1,786-0 ,ENTPD2,786-0
955,1,786-0 ,ENTPD6,786-0
956,1,786-0 ,ENTPD3,786-0
957,1,786-0 ,ENTPD5,786-0
64841,1,786-0 ,GNPNAT1,786-0
55089,1,786-0 ,SLC38A4,786-0
28232,1,786-0 ,SLCO3A1,786-0
9488,1,786-0 ,PIGB,786-0
6715,1,786-0 ,SRD5A1,786-0
6716,1,786-0 ,SRD5A2,786-0
8443,1,786-0 ,GNPAT,786-0
226,1,786-0 ,ALDOA,786-0
230,1,786-0 ,ALDOC,786-0
6487,1,786-0 ,ST3GAL3,786-0
100,1,786-0 ,ADA,786-0
5372,1,786-0 ,PMM1,786-0
5373,1,786-0 ,PMM2,786-0
55276,1,786-0 ,PGM2,786-0
6529,1,786-0 ,SLC6A1,786-0
6538,1,786-0 ,SLC6A11,786-0
6539,1,786-0 ,SLC6A12,786-0
6540,1,786-0 ,SLC6A13,786-0
8309,1,786-0 ,ACOX2,786-0
3712,0.998735785,786-0 ,IVD,786-0
23483,1,786-0 ,TGDS,786-0
23057,1,786-0 ,NMNAT2,786-0
349565,1,786-0 ,NMNAT3,786-0
2548,1,786-0 ,GAA,786-0
11226,1,786-0 ,GALNT6,786-0
11227,1,786-0 ,GALNT5,786-0
114805,1,786-0 ,GALNT13,786-0
117248,1,786-0 ,GALNT15,786-0
2589,1,786-0 ,GALNT1,786-0
2590,1,786-0 ,GALNT2,786-0
2591,1,786-0 ,GALNT3,786-0
26290,1,786-0 ,GALNT8,786-0
50614,1,786-0 ,GALNT9,786-0
51809,1,786-0 ,GALNT7,786-0
55568,1,786-0 ,GALNT10,786-0
63917,1,786-0 ,GALNT11,786-0
79623,1,786-0 ,GALNT14,786-0
79695,1,786-0 ,GALNT12,786-0
8693,1,786-0 ,GALNT4,786-0
6505,1,786-0 ,SLC1A1,786-0
6506,1,786-0 ,SLC1A2,786-0
6507,1,786-0 ,SLC1A3,786-0
6511,1,786-0 ,SLC1A6,786-0
6512,1,786-0 ,SLC1A7,786-0
39,0.969782896,786-0 ,ACAT2,786-0
10678,1,786-0 ,B3GNT2,786-0
1036,1,786-0 ,CDO1,786-0
6476,1,786-0 ,SI,786-0
57282,1,786-0 ,SLC4A10,786-0
9498,1,786-0 ,SLC4A8,786-0
6448,1,786-0 ,SGSH,786-0
2542,1,786-0 ,SLC37A4,786-0
239,1,786-0 ,ALOX12,786-0
23396,1,786-0 ,PIP5K1C,786-0
8394,1,786-0 ,PIP5K1A,786-0
8395,1,786-0 ,PIP5K1B,786-0
5092,1,786-0 ,PCBD1,786-0
4597,0,786-0 ,MVD,786-0
26,1,786-0 ,AOC1,786-0
314,1,786-0 ,AOC2,786-0
8639,1,786-0 ,AOC3,786-0
3251,1,786-0 ,HPRT1,786-0
26873,1,786-0 ,OPLAH,786-0
2655,1,786-0 ,GGCT,786-0
6472,1,786-0 ,SHMT2,786-0
5834,1,786-0 ,PYGB,786-0
5836,1,786-0 ,PYGL,786-0
5837,1,786-0 ,PYGM,786-0
2181,1,786-0 ,ACSL3,786-0
978,1,786-0 ,CDA,786-0
