genelistrounded,grRatio,CL,Gene,Cell Line
6566,0.991528358,CCRF-CEM ,SLC16A1,CCRF-CEM
7355,1,CCRF-CEM ,SLC35A2,CCRF-CEM
50814,0,CCRF-CEM ,NSDHL,CCRF-CEM
9563,1,CCRF-CEM ,H6PD,CCRF-CEM
4363,1,CCRF-CEM ,ABCC1,CCRF-CEM
4860,1,CCRF-CEM ,PNP,CCRF-CEM
3284,1,CCRF-CEM ,HSD3B2,CCRF-CEM
3620,1,CCRF-CEM ,IDO1,CCRF-CEM
10846,1,CCRF-CEM ,PDE10A,CCRF-CEM
50940,1,CCRF-CEM ,PDE11A,CCRF-CEM
5136,1,CCRF-CEM ,PDE1A,CCRF-CEM
5137,1,CCRF-CEM ,PDE1C,CCRF-CEM
5138,1,CCRF-CEM ,PDE2A,CCRF-CEM
5139,1,CCRF-CEM ,PDE3A,CCRF-CEM
5140,1,CCRF-CEM ,PDE3B,CCRF-CEM
5145,1,CCRF-CEM ,PDE6A,CCRF-CEM
5146,1,CCRF-CEM ,PDE6C,CCRF-CEM
5147,1,CCRF-CEM ,PDE6D,CCRF-CEM
5148,1,CCRF-CEM ,PDE6G,CCRF-CEM
5149,1,CCRF-CEM ,PDE6H,CCRF-CEM
5152,1,CCRF-CEM ,PDE9A,CCRF-CEM
5153,1,CCRF-CEM ,PDE1B,CCRF-CEM
5158,1,CCRF-CEM ,PDE6B,CCRF-CEM
8654,1,CCRF-CEM ,PDE5A,CCRF-CEM
160287,1,CCRF-CEM ,LDHAL6A,CCRF-CEM
3939,1,CCRF-CEM ,LDHA,CCRF-CEM
3945,1,CCRF-CEM ,LDHB,CCRF-CEM
3948,1,CCRF-CEM ,LDHC,CCRF-CEM
55293,1,CCRF-CEM ,UEVLD,CCRF-CEM
92483,1,CCRF-CEM ,LDHAL6B,CCRF-CEM
343,1,CCRF-CEM ,AQP8,CCRF-CEM
113026,1,CCRF-CEM ,PLCD3,CCRF-CEM
23007,1,CCRF-CEM ,PLCH1,CCRF-CEM
23236,1,CCRF-CEM ,PLCB1,CCRF-CEM
257068,1,CCRF-CEM ,PLCXD2,CCRF-CEM
51196,1,CCRF-CEM ,PLCE1,CCRF-CEM
5330,1,CCRF-CEM ,PLCB2,CCRF-CEM
5331,1,CCRF-CEM ,PLCB3,CCRF-CEM
5332,1,CCRF-CEM ,PLCB4,CCRF-CEM
5333,1,CCRF-CEM ,PLCD1,CCRF-CEM
5334,1,CCRF-CEM ,PLCL1,CCRF-CEM
5335,1,CCRF-CEM ,PLCG1,CCRF-CEM
5336,1,CCRF-CEM ,PLCG2,CCRF-CEM
84812,1,CCRF-CEM ,PLCD4,CCRF-CEM
89869,1,CCRF-CEM ,PLCZ1,CCRF-CEM
9651,1,CCRF-CEM ,PLCH2,CCRF-CEM
5281,1,CCRF-CEM ,PIGF,CCRF-CEM
54872,1,CCRF-CEM ,PIGG,CCRF-CEM
8034,0.994251278,CCRF-CEM ,SLC25A16,CCRF-CEM
8525,1,CCRF-CEM ,DGKZ,CCRF-CEM
9162,1,CCRF-CEM ,DGKI,CCRF-CEM
1786,1,CCRF-CEM ,DNMT1,CCRF-CEM
1787,1,CCRF-CEM ,TRDMT1,CCRF-CEM
1788,1,CCRF-CEM ,DNMT3A,CCRF-CEM
1789,1,CCRF-CEM ,DNMT3B,CCRF-CEM
56548,1,CCRF-CEM ,CHST7,CCRF-CEM
9469,1,CCRF-CEM ,CHST3,CCRF-CEM
229,1,CCRF-CEM ,ALDOB,CCRF-CEM
318,1,CCRF-CEM ,NUDT2,CCRF-CEM
2944,1,CCRF-CEM ,GSTM1,CCRF-CEM
55301,1,CCRF-CEM ,OLAH,CCRF-CEM
4123,1,CCRF-CEM ,MAN2C1,CCRF-CEM
7941,1,CCRF-CEM ,PLA2G7,CCRF-CEM
84920,1,CCRF-CEM ,ALG10,CCRF-CEM
6580,1,CCRF-CEM ,SLC22A1,CCRF-CEM
6582,1,CCRF-CEM ,SLC22A2,CCRF-CEM
8140,1,CCRF-CEM ,SLC7A5,CCRF-CEM
9197,1,CCRF-CEM ,SLC33A1,CCRF-CEM
10723,1,CCRF-CEM ,SLC12A7,CCRF-CEM
6560,1,CCRF-CEM ,SLC12A4,CCRF-CEM
9990,1,CCRF-CEM ,SLC12A6,CCRF-CEM
23475,1,CCRF-CEM ,QPRT,CCRF-CEM
206358,1,CCRF-CEM ,SLC36A1,CCRF-CEM
1891,1,CCRF-CEM ,ECH1,CCRF-CEM
28231,1,CCRF-CEM ,SLCO4A1,CCRF-CEM
53919,1,CCRF-CEM ,SLCO1C1,CCRF-CEM
1543,1,CCRF-CEM ,CYP1A1,CCRF-CEM
1544,1,CCRF-CEM ,CYP1A2,CCRF-CEM
1545,1,CCRF-CEM ,CYP1B1,CCRF-CEM
1557,1,CCRF-CEM ,CYP2C19,CCRF-CEM
6513,1,CCRF-CEM ,SLC2A1,CCRF-CEM
6514,1,CCRF-CEM ,SLC2A2,CCRF-CEM
6576,1,CCRF-CEM ,SLC25A1,CCRF-CEM
1718,0,CCRF-CEM ,DHCR24,CCRF-CEM
27124,1,CCRF-CEM ,INPP5J,CCRF-CEM
3632,1,CCRF-CEM ,INPP5A,CCRF-CEM
3633,1,CCRF-CEM ,INPP5B,CCRF-CEM
3635,1,CCRF-CEM ,INPP5D,CCRF-CEM
3636,1,CCRF-CEM ,INPPL1,CCRF-CEM
56623,1,CCRF-CEM ,INPP5E,CCRF-CEM
8867,1,CCRF-CEM ,SYNJ1,CCRF-CEM
2806,1,CCRF-CEM ,GOT2,CCRF-CEM
6898,1,CCRF-CEM ,TAT,CCRF-CEM
7296,1,CCRF-CEM ,TXNRD1,CCRF-CEM
8574,1,CCRF-CEM ,AKR7A2,CCRF-CEM
3423,1,CCRF-CEM ,IDS,CCRF-CEM
2184,0.995316579,CCRF-CEM ,FAH,CCRF-CEM
2752,1,CCRF-CEM ,GLUL,CCRF-CEM
51557,1,CCRF-CEM ,LGSN,CCRF-CEM
1593,1,CCRF-CEM ,CYP27A1,CCRF-CEM
7357,1,CCRF-CEM ,UGCG,CCRF-CEM
151531,1,CCRF-CEM ,UPP2,CCRF-CEM
7378,1,CCRF-CEM ,UPP1,CCRF-CEM
15,1,CCRF-CEM ,AANAT,CCRF-CEM
7083,1,CCRF-CEM ,TK1,CCRF-CEM
7084,1,CCRF-CEM ,TK2,CCRF-CEM
5959,1,CCRF-CEM ,RDH5,CCRF-CEM
64802,1,CCRF-CEM ,NMNAT1,CCRF-CEM
10861,1,CCRF-CEM ,SLC26A1,CCRF-CEM
1811,1,CCRF-CEM ,SLC26A3,CCRF-CEM
1836,1,CCRF-CEM ,SLC26A2,CCRF-CEM
5337,1,CCRF-CEM ,PLD1,CCRF-CEM
4247,1,CCRF-CEM ,MGAT2,CCRF-CEM
10841,1,CCRF-CEM ,FTCD,CCRF-CEM
112724,1,CCRF-CEM ,RDH13,CCRF-CEM
145226,1,CCRF-CEM ,RDH12,CCRF-CEM
195814,1,CCRF-CEM ,SDR16C5,CCRF-CEM
51109,1,CCRF-CEM ,RDH11,CCRF-CEM
57665,1,CCRF-CEM ,RDH14,CCRF-CEM
10905,1,CCRF-CEM ,MAN1A2,CCRF-CEM
4121,1,CCRF-CEM ,MAN1A1,CCRF-CEM
57134,1,CCRF-CEM ,MAN1C1,CCRF-CEM
1629,0.99097947,CCRF-CEM ,DBT,CCRF-CEM
1738,0.78527635,CCRF-CEM ,DLD,CCRF-CEM
593,0.99097947,CCRF-CEM ,BCKDHA,CCRF-CEM
594,1,CCRF-CEM ,BCKDHB,CCRF-CEM
6523,1,CCRF-CEM ,SLC5A1,CCRF-CEM
6563,1,CCRF-CEM ,SLC14A1,CCRF-CEM
8170,1,CCRF-CEM ,SLC14A2,CCRF-CEM
366,1,CCRF-CEM ,AQP9,CCRF-CEM
84720,1,CCRF-CEM ,PIGO,CCRF-CEM
162466,1,CCRF-CEM ,PHOSPHO1,CCRF-CEM
6470,1,CCRF-CEM ,SHMT1,CCRF-CEM
84532,1,CCRF-CEM ,ACSS1,CCRF-CEM
6888,0.999629299,CCRF-CEM ,TALDO1,CCRF-CEM
2131,1,CCRF-CEM ,EXT1,CCRF-CEM
2132,1,CCRF-CEM ,EXT2,CCRF-CEM
2134,1,CCRF-CEM ,EXTL1,CCRF-CEM
2137,1,CCRF-CEM ,EXTL3,CCRF-CEM
129807,1,CCRF-CEM ,NEU4,CCRF-CEM
4759,1,CCRF-CEM ,NEU2,CCRF-CEM
55191,1,CCRF-CEM ,NADSYN1,CCRF-CEM
549,0.998740186,CCRF-CEM ,AUH,CCRF-CEM
55577,1,CCRF-CEM ,NAGK,CCRF-CEM
