genelistrounded,grRatio,CL,Gene,Cell Line
57026,1,BT-549    ,PDXP,BT-549
5728,1,BT-549    ,PTEN,BT-549
5172,1,BT-549    ,SLC26A4,BT-549
4907,1,BT-549    ,NT5E,BT-549
3658,1,BT-549    ,IREB2,BT-549
48,1,BT-549    ,ACO1,BT-549
55650,1,BT-549    ,PIGV,BT-549
1468,1,BT-549    ,SLC25A10,BT-549
51179,1,BT-549    ,HAO2,BT-549
54363,1,BT-549    ,HAO1,BT-549
27235,1,BT-549    ,COQ2,BT-549
79087,1,BT-549    ,ALG12,BT-549
2523,1,BT-549    ,FUT1,BT-549
6581,1,BT-549    ,SLC22A3,BT-549
847,1,BT-549    ,CAT,BT-549
53947,1,BT-549    ,A4GALT,BT-549
10327,1,BT-549    ,AKR1A1,BT-549
231,1,BT-549    ,AKR1B1,BT-549
1716,1,BT-549    ,DGUOK,BT-549
50808,1,BT-549    ,AK3,BT-549
2544,1,BT-549    ,SLC37A4,BT-549
10965,1,BT-549    ,ACOT2,BT-549
953,1,BT-549    ,ENTPD1,BT-549
954,1,BT-549    ,ENTPD2,BT-549
955,1,BT-549    ,ENTPD6,BT-549
956,1,BT-549    ,ENTPD3,BT-549
957,1,BT-549    ,ENTPD5,BT-549
64841,1,BT-549    ,GNPNAT1,BT-549
55089,1,BT-549    ,SLC38A4,BT-549
28232,1,BT-549    ,SLCO3A1,BT-549
9488,1,BT-549    ,PIGB,BT-549
6715,1,BT-549    ,SRD5A1,BT-549
6716,1,BT-549    ,SRD5A2,BT-549
8443,1,BT-549    ,GNPAT,BT-549
226,1,BT-549    ,ALDOA,BT-549
230,1,BT-549    ,ALDOC,BT-549
6487,1,BT-549    ,ST3GAL3,BT-549
100,1,BT-549    ,ADA,BT-549
5372,1,BT-549    ,PMM1,BT-549
5373,1,BT-549    ,PMM2,BT-549
55276,1,BT-549    ,PGM2,BT-549
6529,1,BT-549    ,SLC6A1,BT-549
6538,1,BT-549    ,SLC6A11,BT-549
6539,1,BT-549    ,SLC6A12,BT-549
6540,1,BT-549    ,SLC6A13,BT-549
8309,1,BT-549    ,ACOX2,BT-549
3712,0.9985395,BT-549    ,IVD,BT-549
23483,1,BT-549    ,TGDS,BT-549
23057,1,BT-549    ,NMNAT2,BT-549
349565,1,BT-549    ,NMNAT3,BT-549
2548,1,BT-549    ,GAA,BT-549
11226,1,BT-549    ,GALNT6,BT-549
