genelistrounded,grRatio,CL,Gene,Cell Line
8525,1,ADR-RES,DGKZ,ADR-RES
9162,1,ADR-RES,DGKI,ADR-RES
1786,1,ADR-RES,DNMT1,ADR-RES
1787,1,ADR-RES,TRDMT1,ADR-RES
1788,1,ADR-RES,DNMT3A,ADR-RES
1789,1,ADR-RES,DNMT3B,ADR-RES
56548,1,ADR-RES,CHST7,ADR-RES
9469,1,ADR-RES,CHST3,ADR-RES
229,1,ADR-RES,ALDOB,ADR-RES
318,1,ADR-RES,NUDT2,ADR-RES
2944,1,ADR-RES,GSTM1,ADR-RES
55301,1,ADR-RES,OLAH,ADR-RES
4123,1,ADR-RES,MAN2C1,ADR-RES
7941,1,ADR-RES,PLA2G7,ADR-RES
84920,1,ADR-RES,ALG10,ADR-RES
6580,1,ADR-RES,SLC22A1,ADR-RES
6582,1,ADR-RES,SLC22A2,ADR-RES
8140,1,ADR-RES,SLC7A5,ADR-RES
9197,1,ADR-RES,SLC33A1,ADR-RES
10723,1,ADR-RES,SLC12A7,ADR-RES
6560,1,ADR-RES,SLC12A4,ADR-RES
9990,1,ADR-RES,SLC12A6,ADR-RES
23475,1,ADR-RES,QPRT,ADR-RES
206358,1,ADR-RES,SLC36A1,ADR-RES
1891,1,ADR-RES,ECH1,ADR-RES
28231,1,ADR-RES,SLCO4A1,ADR-RES
53919,1,ADR-RES,SLCO1C1,ADR-RES
1543,1,ADR-RES,CYP1A1,ADR-RES
1544,1,ADR-RES,CYP1A2,ADR-RES
1545,1,ADR-RES,CYP1B1,ADR-RES
1557,1,ADR-RES,CYP2C19,ADR-RES
6513,1,ADR-RES,SLC2A1,ADR-RES
6514,1,ADR-RES,SLC2A2,ADR-RES
6576,1,ADR-RES,SLC25A1,ADR-RES
1718,0,ADR-RES,DHCR24,ADR-RES
27124,1,ADR-RES,INPP5J,ADR-RES
3632,1,ADR-RES,INPP5A,ADR-RES
3633,1,ADR-RES,INPP5B,ADR-RES
3635,1,ADR-RES,INPP5D,ADR-RES
3636,1,ADR-RES,INPPL1,ADR-RES
56623,1,ADR-RES,INPP5E,ADR-RES
8867,1,ADR-RES,SYNJ1,ADR-RES
2806,1,ADR-RES,GOT2,ADR-RES
6898,1,ADR-RES,TAT,ADR-RES
7296,1,ADR-RES,TXNRD1,ADR-RES
8574,1,ADR-RES,AKR7A2,ADR-RES
3423,1,ADR-RES,IDS,ADR-RES
2184,0.98913421,ADR-RES,FAH,ADR-RES
2752,1,ADR-RES,GLUL,ADR-RES
51557,1,ADR-RES,LGSN,ADR-RES
1593,1,ADR-RES,CYP27A1,ADR-RES
7357,1,ADR-RES,UGCG,ADR-RES
151531,1,ADR-RES,UPP2,ADR-RES
7378,1,ADR-RES,UPP1,ADR-RES
15,1,ADR-RES,AANAT,ADR-RES
7083,1,ADR-RES,TK1,ADR-RES
7084,1,ADR-RES,TK2,ADR-RES
5959,1,ADR-RES,RDH5,ADR-RES
64802,1,ADR-RES,NMNAT1,ADR-RES
10861,1,ADR-RES,SLC26A1,ADR-RES
1811,1,ADR-RES,SLC26A3,ADR-RES
1836,1,ADR-RES,SLC26A2,ADR-RES
5337,1,ADR-RES,PLD1,ADR-RES
4247,1,ADR-RES,MGAT2,ADR-RES
10841,1,ADR-RES,FTCD,ADR-RES
112724,1,ADR-RES,RDH13,ADR-RES
145226,1,ADR-RES,RDH12,ADR-RES
195814,1,ADR-RES,SDR16C5,ADR-RES
51109,1,ADR-RES,RDH11,ADR-RES
57665,1,ADR-RES,RDH14,ADR-RES
10905,1,ADR-RES,MAN1A2,ADR-RES
4121,1,ADR-RES,MAN1A1,ADR-RES
57134,1,ADR-RES,MAN1C1,ADR-RES
1629,0.984509517,ADR-RES,DBT,ADR-RES
1738,0.754422941,ADR-RES,DLD,ADR-RES
593,0.984509517,ADR-RES,BCKDHA,ADR-RES
594,1,ADR-RES,BCKDHB,ADR-RES
6523,1,ADR-RES,SLC5A1,ADR-RES
6563,1,ADR-RES,SLC14A1,ADR-RES
8170,1,ADR-RES,SLC14A2,ADR-RES
366,1,ADR-RES,AQP9,ADR-RES
84720,1,ADR-RES,PIGO,ADR-RES
162466,1,ADR-RES,PHOSPHO1,ADR-RES
6470,1,ADR-RES,SHMT1,ADR-RES
84532,1,ADR-RES,ACSS1,ADR-RES
6888,0.999656127,ADR-RES,TALDO1,ADR-RES
2131,1,ADR-RES,EXT1,ADR-RES
2132,1,ADR-RES,EXT2,ADR-RES
2134,1,ADR-RES,EXTL1,ADR-RES
2137,1,ADR-RES,EXTL3,ADR-RES
129807,1,ADR-RES,NEU4,ADR-RES
4759,1,ADR-RES,NEU2,ADR-RES
55191,1,ADR-RES,NADSYN1,ADR-RES
549,0.994979287,ADR-RES,AUH,ADR-RES
55577,1,ADR-RES,NAGK,ADR-RES
6309,0,ADR-RES,SC5D,ADR-RES
3294,1,ADR-RES,HSD17B2,ADR-RES
54407,1,ADR-RES,SLC38A2,ADR-RES
81539,1,ADR-RES,SLC38A1,ADR-RES
55315,1,ADR-RES,SLC29A3,ADR-RES
7390,1,ADR-RES,UROS,ADR-RES
80055,1,ADR-RES,PGAP1,ADR-RES
80235,1,ADR-RES,PIGZ,ADR-RES
175,1,ADR-RES,AGA,ADR-RES
2571,1,ADR-RES,GAD1,ADR-RES
9453,1,ADR-RES,GGPS1,ADR-RES
60490,1,ADR-RES,PPCDC,ADR-RES
10400,1,ADR-RES,PEMT,ADR-RES
10554,1,ADR-RES,AGPAT1,ADR-RES
10555,1,ADR-RES,AGPAT2,ADR-RES
137964,1,ADR-RES,GPAT4,ADR-RES
55326,1,ADR-RES,AGPAT5,ADR-RES
56894,1,ADR-RES,AGPAT3,ADR-RES
56895,1,ADR-RES,AGPAT4,ADR-RES
3425,1,ADR-RES,IDUA,ADR-RES
9514,1,ADR-RES,GAL3ST1,ADR-RES
2628,1,ADR-RES,GATM,ADR-RES
