
breast,79.78533050873476,0.6001540832049307,0.6001540832049307,0.8001017293997966,0.8012912482065997,0.7957532861476239,0.9550698239222831,0.6676628810520023
ovarian,80.13157640138543,0.8176274944567627,0.8176274944567627,0.7618510158013543,0.789906103286385,0.8176274944567627,0.8292383292383292,0.8344699318040918,CNV
ovarian
ovarian,62.54534425235063,0.6263858093126385,0.6263858093126385,0.612398921832884,0.6668700427089689,0.6263858093126385,0.71,0.6891551071878941,CNV
ovarian
ovarian
cns,86.06060606060606,0.7630662020905923,0.7630662020905923,0.8327868852459016,0.8049535603715171,0.7630662020905923,0.7650602409638555,0.8125,CNV
cns
cns,80.80608974358977,0.6689895470383276,0.6689895470383276,0.7605633802816901,0.7427536231884058,0.6689895470383276,0.7627118644067797,0.6721311475409836,CNV
cns
cns
